,maararv_V2E,r_d_ifrs,end_quarter,r_d_cons,f_cash,i_top4,c_barr2,c_d_cont,v40010,v30010,rep_PDF,c_d_late1,r_d_rmed,pohitegevusala,c_d_sales,maa_algus,c_d_o1comb,v40020,v50010,size_scaled,r_d_abper,c_d_vat,f_lev1,maararv_X1,c_d_o1ocomb,f_lev3,f_cfoper,count_tax,rep_tabelid,r_d_pdfnot,f_lev2,f_nprofm,f_d_altman,r_d_invsub,c_finend,f_lev5,alt_x2,c_county,rep_notar,r_d_rlarge,f_lnsize2,oigvorm_arc,c_empl,f_d_loss,v50030,maararv_X2,r_repper,sharefirm1,r_d_finend,c_d_overtax1,c_d_nassets2,c_d_nassets1,r_growth,zmij_x2,v20100,alt_x1,maa_lopp,v30060,f_d_prof,r_d_rmissing,c_d_emplc,c_o1ctry,c_d_end,r_d_intang,maararv_HM,ln_size,c_o1ctryt,c_no_share,maararv_HP,maararv_V2,c_no_dir,r_d_accerror,c_age,c_barr1,f_d_liq,r_d_acc_diff,c_segcm,c_top1,r_d_goodwill,rep_RMP,r_d_xbrl,v64040,f_lev4,maarusearv
maararv_V2E,1.0,-0.0007195893464839204,-2.1335852879942585e-05,0.0022724258965018847,0.0002537693775745279,0.002067023209507832,-0.0031329557426968873,-0.0006469776572779822,-0.0016852984226049116,-0.00020316075739884346,0.0018081795510074086,0.029851106264519756,0.0016837714011478711,-0.0042207029481852315,0.010537091619231661,0.0010276343012835393,-0.0002873821646209653,-0.002552643126418741,-0.0007813833309085523,-0.0024954673154780936,-0.006312516503995896,-0.005260050771686258,-0.006494017799315492,-0.001186955313914915,-0.00015740055974682198,-0.0024297009284477795,-0.005476206178854532,0.004489307869581886,-0.0008670023147542592,0.004610431624132671,-0.0030604929350891703,0.0001476125900352415,-0.003708916425729077,0.0004993983139528947,-0.00022083514702597352,-0.001601443990973724,-0.0003657947577471389,-0.0006701696558494898,0.003731443680252675,-0.00031481432252585966,-0.010858798794539899,-0.0025283697947340597,-0.0068659742056658936,-0.0029658352113480207,0.00019018407708283974,4.332312314329307e-05,0.00308216953991561,-0.00015213292834311706,-0.00024562329245160936,0.0018557087763922233,-4.760212497612956e-05,0.001910326581758212,-1.4011416684736259e-05,-0.0017419309238464232,0.0011132915943929456,-0.00227750413110408,0.00012620271921555032,-0.004592046169497444,0.0004044332292049402,-0.005613016079665602,-0.009941144862434258,2.665752880444081e-05,-5.246620130051567e-05,-0.0006726009177700195,0.012931016082501367,0.005265813775403119,2.665752880444081e-05,0.0005220961660951624,0.0011137582801623506,0.8355526198655145,-0.0016565558993040976,0.0053987717338212365,0.006654910845535038,-0.00016270316810353353,-0.002807597332640296,-0.002647048635215198,-0.00982358627714854,0.0018082023799081614,-0.00037102030600000166,-0.0013681189636518363,0.0001075352530825906,-0.001111421741281078,-0.003801248884121211,0.28370708139302075
r_d_ifrs,-0.0007195893464839204,1.0,-0.0022335433699432693,0.015146752181750947,-0.0064060401141430075,-0.0020120566497005402,-0.0034437966407748436,-0.0009400280649925121,0.0013746459482678055,-0.006276744781421569,0.40424206147326924,0.004571372430042391,-0.0022729130168699483,-0.005353929214637587,0.009705026514118349,9.30019078256783e-06,-0.000233373116652739,0.0018415861391649446,-0.0015148703566525631,-0.0025949239262257106,-0.0013244668569027608,0.00030154737126169347,-0.008124594357959033,-0.0009638853590694953,-0.00012781955080423658,-0.00015870557907848054,-0.004007213302980336,-0.0020990926329778202,-0.10934819050446361,0.25805927497326026,0.0012965114518604622,-3.1816854191666387e-07,0.0006743343348264421,0.004261956680768853,-0.0011040686543379661,4.6661871422309006e-05,8.670352639042781e-05,-0.00567389640253563,-0.0010154166995132812,-0.00025564982333429483,-0.012980651880560782,0.0007358329041349286,0.00016232678485706426,-0.005012633524637356,0.00010613197155640479,8.180098848245853e-05,0.0002205763950022969,-9.294755262816795e-05,-0.0007059180699885313,-0.0013664375772762204,2.176426947411335e-05,-0.0028400931941562116,-0.00011296143226416609,0.00030396034132124913,0.0027270976216931552,-0.016698030768819736,-0.0013609910040321038,-0.0010260290956546677,-0.006968191907589371,0.008499124352787192,-0.009926761372055008,0.0021350282183352355,-4.2605987509977344e-05,0.0008098375972877824,-0.0007308731990040667,0.004748291101401534,0.0021350282183352355,0.00042397623956530326,0.010804907792276932,-0.0007553473317114838,0.010619684434896855,-0.0007929422023881194,0.0006319712069506382,-0.00012774412269813006,0.0003157560953100303,-0.002791170911623386,-0.026307265407712697,0.0014683786152643718,-0.0003012927586054992,-0.0020963987245252265,-0.001988672456669437,-0.0011140691946014184,0.0018329339995027585,0.001905203080417345
end_quarter,-2.1335852879942585e-05,-0.0022335433699432693,1.0,-0.002754105682494225,0.006385304468557982,-0.019096316554879953,0.010013730456862106,0.01244494121052797,0.003456289369013366,0.014024414234693618,-0.019860055294835064,-0.03517144764005484,0.001982970163290979,0.004272188700583329,0.00701957659375208,-0.2392750970005611,-0.0005133008812830633,0.0006782597965711315,0.0005324512523245734,0.016613827161861237,-0.031113375891393208,0.009679941803407076,0.00707084758962561,0.0034945909746293886,0.000772782993776307,0.00021826599353486024,-0.0005623781947768061,0.01004246023093721,0.015361307564627717,-0.01069942303414294,-0.0005998302946533845,-0.00029387176423565877,0.005005894655346847,-0.016668620518662157,0.7762145925834026,-0.0008360768171324784,0.001383452375219985,-0.001672638819400801,0.005253119992201907,0.0006673270625866123,0.0014394657986435675,-0.003837971205456991,0.013515801185841662,0.0014183047216173579,-0.0010341942742347293,-0.009067265156830496,-0.017374157846544815,0.0004803209328280915,0.6943580482894065,0.008678411225728289,-0.04453446653502645,-0.016889668322308992,-0.00015754255019583655,0.00046090336174491704,-0.004724003317062164,0.009057985958316798,0.29159802076418606,0.010656217485748506,0.001716353783590933,0.01184535877434055,0.009133598938775009,0.00016006408078525903,-0.005011944862398537,-0.0009529300272361753,-0.011876894281380475,0.01662592111675835,0.00016006408078525903,-0.007265603545735314,-0.024475958034646254,-0.00019360160480465992,0.004829873867154468,0.0008258265063780522,0.05007916381190073,0.0005104417624849793,0.002493138518247739,0.0029609120217526665,-0.009864359057849312,0.0025605787112558042,0.0018215829936288398,-0.012466126882135756,-0.005253027892307049,0.00016076926070513175,0.003719648874826336,-0.014470184628051046
r_d_cons,0.0022724258965018847,0.015146752181750947,-0.002754105682494225,1.0,-0.008869785803002763,-0.007982348064666467,-0.007409789364778536,-0.0014787858661588372,0.0061614473281023764,0.008772853945965824,0.5545181878592939,0.003963026979966963,5.732257909373557e-05,0.0008166741735981633,0.01433930320035186,-0.001248503615080022,-0.0003120624084225114,0.0026819886538302375,0.0009593883021555209,0.015268336572260881,-0.001165865735250726,-0.0012562176053443116,-0.009125897943546487,0.0011276365339237242,-0.0001709180450583181,-0.00013428965796481967,0.0007087125044472208,0.006155663949997184,-0.15010046960636328,0.3901164389880591,0.001965190816011634,0.00013480785821803022,-0.004568720951564455,0.2578409567401448,-0.00057921024249269,0.001365577092899249,0.00019064552698618587,0.003527184278294744,-0.0013577972705145396,-0.0003418504270189829,-0.01608647405095316,-0.002179428101084505,0.002336499966276881,-0.011343013676620899,0.003940044878566018,0.0008144088719524612,0.004020776962920047,-9.454987413792049e-05,0.001245399463797054,0.0042967119333585935,-0.006787323092392236,-0.0029675882725018433,-0.00012176609422610011,0.0039530346406010585,0.0033234723309849253,-0.023921056968181507,-0.002391736076107613,0.0032646057722085955,-0.013509024226807644,0.01633369310984283,-0.014126018591616711,0.0009724684885161786,-5.697197374866066e-05,0.003952844936767394,0.002207487153777888,0.001613855599976353,0.0009724684885161786,0.003518896233956935,0.003030129250268263,0.0020717612616890763,0.0014041227172620371,-0.001060308303570723,0.00721953661379317,-7.950306891415018e-05,-0.0014195815619937819,0.07777090446753533,-0.03897437333864143,0.00196348994146422,0.02275650651409722,-0.0028032673358974265,-0.002659217673795732,-0.0014897136439839715,0.02081054476514171,0.002609575540144176
f_cash,0.0002537693775745279,-0.0064060401141430075,0.006385304468557982,-0.008869785803002763,1.0,-0.003157939336279518,-0.054956246268388506,0.009220790665847186,-0.03214778730520884,0.1642883847830859,-0.013917808102219527,-0.013877692461614795,0.010437021526756698,0.014217666736748794,0.034921604664463014,-0.005627183478838136,-0.00012063571076025986,-0.022301711813475275,0.01618814091459094,-0.07710084710518722,0.01663579843123539,-0.04586822808597843,-0.07421858281377355,0.008913582380960235,0.0009172574836925455,-0.03503312854198193,-0.015959315619182467,-0.011312763684254311,0.009833695120128386,-0.022361352527913072,-0.025631532373310797,6.937324913515657e-05,-0.05437745387382387,-0.002560887575975014,0.007846756451447718,-0.021899962105382458,-0.001216155422623927,-0.02386208872760791,-0.01353718046618999,0.0022113417760238336,-0.03755354650759994,0.004636229737514647,-0.021390611555393405,-0.019438397956448195,0.0038493864542688194,-0.019635918120181766,-0.003367603217939161,0.0008253762084741516,0.0069037431471386645,-0.007625419154194021,0.0013680973099549306,-0.05130219317500934,-0.0008201358061312499,-0.03693765161119932,0.011370773970125234,0.043853878046366215,0.0060138833636996574,-0.05119789377479885,-0.02920646652140429,0.20140154859641957,-0.020510369234368345,-0.011017838953635237,-0.0007696158020963372,-0.005893130532203664,-0.0061241492200593915,-0.027593846683842186,-0.011017838953635237,-0.004438793938643383,-0.006022956648490432,0.0017268795013481851,0.0049840247848519596,0.0008922346846162437,-0.03908106527062308,-0.0015966365246142056,-0.07168288050370117,-0.019571876646963762,-0.02818771669887705,-0.008399714061276169,-0.002325544448958831,0.009741589175762257,-0.01282524450875405,0.0010139597541332457,-0.024360525725691348,-0.017411187953443152
i_top4,0.002067023209507832,-0.0020120566497005402,-0.019096316554879953,-0.007982348064666467,-0.003157939336279518,1.0,0.05183962049204221,-0.05459016097064684,-0.015132960815299969,-0.011105778006249878,-0.007135345864122338,0.005350902762841589,0.006362842351825315,-0.01356516828333548,-0.0531747697751266,0.012742571789229133,0.000217811230515851,-0.005270308300637137,0.00607440255788383,0.08861225412588031,0.01029409372199491,0.02350589515455177,-0.003558896007526323,-0.004209173742705779,0.0005198886131663504,0.0008737607656013639,0.021270796777354058,-0.005728096339197269,-0.01834888208860849,-0.010395149372550112,-0.004441775055158398,-0.0019063177853278434,0.0136642773720436,-0.015708016726453552,-0.02426830246810112,-0.0009841519388978108,0.0007073399392615767,0.037146200946846696,-0.006584938567877126,0.004261064259858372,0.04910198151716046,0.007761628594970961,-0.004533935240398108,0.01046284293818893,-0.0024136353102355897,6.0460957453262114e-05,-0.010966970871500854,-0.0018222247097348693,-0.026937081782027247,-0.002091617498953799,0.020818805890668722,0.0028163054300869754,0.0007969716871030806,-0.005966300771882062,-0.009237815136821443,-0.017276808769639145,-0.017713509613446317,0.028861244201517228,0.008817560445499362,-0.023053733518987124,-0.010959835350157826,-0.00040355755618030014,-0.000884843901407841,-0.008590041405336904,0.002357029383638438,-0.4216625106008517,-0.00040355755618030014,-0.003980966559051288,0.005196605617247971,0.0018226976080243135,0.002257203332477191,-0.0007211010982392355,-0.05603444538897306,-0.0021699971755674797,0.012345610170187028,0.012449006030443405,0.044893164964214825,-0.0011152224178660303,-0.001471845880409469,0.029915035391443346,0.0042712704176943546,0.0021328302612448244,0.009262109918585195,0.0013017709789879713
c_barr2,-0.0031329557426968873,-0.0034437966407748436,0.010013730456862106,-0.007409789364778536,-0.054956246268388506,0.05183962049204221,1.0,0.0003635059403947876,0.10909479021600295,-0.02273602696212482,-0.013865622661531261,-0.040474445977596626,0.015083454772188405,-0.046289678918744824,-0.12022234362031925,-0.013183019769049864,-0.002446509423130051,0.0965383230659345,0.021591567449657602,0.08099625298738299,-0.012233888970738238,0.1652449040552992,0.18300570051166096,-0.0015138702673790337,0.0011059564541511717,0.1143988897847868,0.31959844902202034,0.0394524075020692,0.013495788159379149,-0.02117011847452162,0.1537999881582764,-0.0011009313114635855,0.22708410435136303,-0.01193451485978059,0.009762577034620842,0.1394623230530436,0.002630519754824941,0.09686708151539977,-0.014177973680825667,0.0005757496563034568,0.13482431234100178,-0.009402735000509303,0.08360593034644952,0.09014751042120281,-0.01689251130921945,-0.028806265581631654,0.022419872271421608,-0.00035749238847751003,0.011386951990880785,0.02320777324812988,-0.05041955651167809,-0.0485692225531561,0.0013007670690177206,0.21248990638044538,-0.03333378774080342,-0.26691202145082005,0.012072992630921991,0.4913044198352708,0.04034277598125868,0.20034840877936336,0.11070443361067052,-0.0010204248804717758,-0.0007286168262812263,0.04420757790383543,-0.007627995739264559,-0.08102523068418993,-0.0010204248804717758,-0.00614912831846855,-0.0029310503878594695,-0.0028280802707037183,0.010027991669169017,0.01000463393248809,0.03560625863674783,0.013718155842930584,0.30723796296840084,0.09746534563900545,0.0877883955539452,-0.0026989597446622315,0.0014743006714617614,0.005293316572182592,-0.013670479878429332,0.012283209780402246,0.1741790940699462,-0.028344762948686514
c_d_cont,-0.0006469776572779822,-0.0009400280649925121,0.01244494121052797,-0.0014787858661588372,0.009220790665847186,-0.05459016097064684,0.0003635059403947876,1.0,-0.01953957753360982,-0.010549220983981684,0.0016957921560787459,-0.013695229028627989,-0.002888625771753321,-0.030840219854221525,0.5037442707476317,-0.015928232007846304,-0.00014185077932145587,-0.007137023813496246,-0.021225910497336187,-0.031051541885692636,-0.053377440505034485,0.01963414426417446,0.075977850718047,0.002775379790795171,0.0013370214670638363,-0.005229545296478608,-0.035246788989703626,0.05344616924292441,0.040630268164164665,-0.02699996847699278,-0.009583089573405276,0.0008301694826075318,0.03431378398340747,0.003888558404198236,0.019384850249984608,-0.018237260529190242,-0.005176285602235613,0.009215909384989382,-0.033530498870949756,0.003853132701377531,-0.36572814484170135,-0.00674044079258747,0.40123845564333305,0.06635030989823058,0.004882274194201191,0.00214809916803179,0.017472998766153235,-0.0004039675568806997,0.0226835976088954,0.04511850632784056,0.0146784532470026,0.10829378683101368,-0.003306903973793298,-0.03496957159870914,-0.0006691563645524198,-0.02997475406002513,0.02006982171489534,0.013084823153299592,-0.009945153011663481,0.0179217147498397,0.62175119887815,0.006128633226228642,0.0016245818054929052,0.0006104618876836228,0.008676903456339822,0.0553372611898521,0.006128633226228642,0.0008570303929997247,0.002704483324182059,0.0004461259049518761,0.015809885358540103,0.0034115715865215657,0.12386745803662852,-0.004885048373088073,-0.00215702752478719,-0.03363541615115373,-0.45606243441304434,0.0061717502785690465,-1.6398018728144128e-05,-0.032602721374885395,-0.01395852064165109,0.009917596421479971,-0.002117528687855077,0.004333507006365311
v40010,-0.0016852984226049116,0.0013746459482678055,0.003456289369013366,0.0061614473281023764,-0.03214778730520884,-0.015132960815299969,0.10909479021600295,-0.01953957753360982,1.0,0.08760276739464279,-0.0053864636098025906,0.012258781914039198,0.012011345115726666,-0.017974067655574803,-0.048398121421022185,-0.009827425402301249,-0.001470429267500012,0.1582582290452386,0.026924465146021113,0.16697200688955752,-0.020331577955608485,0.09733609735705331,0.2622051146626669,0.0011297498411227329,-0.0008053610079729989,0.06511940214748156,0.0942481958281049,0.026246796972324675,0.006647250070807704,-0.007799882133710161,0.07479197306501253,0.0012807789377066899,0.17495388330589112,0.04271919462724563,0.007641542519083,0.3314623070404788,0.0012791947645427305,0.009445051638387224,-0.005455307770249292,0.0009943589548410655,0.0660164731862289,-0.006658799352451092,0.019220490083479837,0.01702937117443754,-0.052125282306600663,-0.0031598424006901403,0.012859267872015617,-0.00021589062623172562,0.005770651720962302,0.01680801109347082,-0.0355151221316508,-0.017887946745059065,0.00075719647461632,0.5362242359839849,-0.023644201264084085,-0.08431496608048815,0.009380201933799986,0.28640239506422593,0.02860607204559268,0.049083645938740955,0.02390983944609104,-0.0007596415245501311,-0.0002684503335430635,0.022087427290590562,-0.0008480550278357302,0.024065045526881122,-0.0007596415245501311,-0.0003561782840502656,-0.0026229041740757917,-0.0006648021527333638,0.0032267423401650987,0.0046593830196122584,0.05482671497150181,0.00347887769673937,0.22052327486276138,0.07187833410501596,0.03105586524600561,0.0013400355041576267,0.010823627249913025,-0.004496575876424197,-0.0006733240181443849,0.01820497574168774,0.2213823579708496,-0.0036116350511524835
v30010,-0.00020316075739884346,-0.006276744781421569,0.014024414234693618,0.008772853945965824,0.1642883847830859,-0.011105778006249878,-0.02273602696212482,-0.010549220983981684,0.08760276739464279,1.0,-0.015531108996367955,-0.008753162171052275,0.03205456891251783,0.0035431793653892796,-0.10379206183426232,-0.01874675790623245,-0.0028729622531479928,0.056992755284895044,0.08250276832256,0.36736433694447135,-0.035520935812170196,0.16868565025941984,-0.01092302289702569,0.008772411960385688,-0.0011448008294649857,0.01633528756096126,0.07975200115103928,0.04102182134848913,0.014544113880698758,-0.02367032772105559,0.03421979199958676,-0.0019217521707104298,-0.06447398427750385,0.023036374688006157,0.02071998154503084,0.018823595752826886,0.003956455051988219,-0.026020670156141484,-0.012102127898834416,0.007287350826217679,0.15617712562911606,-0.02022168324540981,0.060950183361638315,-0.013881110809916143,0.005081355456806457,-0.021167454994996344,0.026327491894596478,0.0014504919576974068,0.020706925354942406,0.034254415478551445,-0.1052176736608885,-0.054281880348231316,-0.0006347726431710448,0.03650609446937763,-0.025584757083486648,0.16124829848291403,0.020763367009173476,0.1104688099726234,0.06080151583001162,0.17073032127638543,0.08707247805377258,-0.008196107684305886,-0.0008146671017410077,0.007793103262176929,-0.007879221856141733,-0.01723030701070346,-0.008196107684305886,-0.002969422409028833,-0.007391209072344722,0.00021293437630762554,0.011130789886768909,0.004320686398721896,0.08833041582434979,0.0016344291007278214,-0.06498853088147453,0.04694416409332194,0.09359564771247625,0.0029141856000623073,-0.00042235346525418526,-0.002550582007076822,-0.0074064349527700095,0.023176767324319007,0.05652082435152848,-0.01965985861948732
rep_PDF,0.0018081795510074086,0.40424206147326924,-0.019860055294835064,0.5545181878592939,-0.013917808102219527,-0.007135345864122338,-0.013865622661531261,0.0016957921560787459,-0.0053864636098025906,-0.015531108996367955,1.0,0.0017018550662457484,-0.0024854091920224826,-0.0037411081660934835,0.025898795318885545,0.00021375817808812043,-0.000349772871963027,-0.0033341135497502207,-0.0022687886581702543,0.0013082781206077403,0.008816618627893494,-0.004605952463907698,-0.02410878968680082,0.0028684924238215684,-0.000191572242848984,-0.005453662403766745,-0.01361437234408178,0.005997255456462433,-0.27338796954649375,0.6536947599638516,-0.005316665129748765,7.055755059007392e-05,-0.00735427311763884,0.1408373726737412,-0.0037733459570483486,-0.006467923460479136,0.0001822397278898865,-0.006050754473838058,-0.001521877156727055,-0.0003831605551102769,-0.032769256109323984,0.0011028450571152458,0.0008932186877858841,-0.019594969374866194,0.0003255059001274475,-0.00010809930362300389,0.0028487452253854262,-0.00015968082651836332,-0.0019865582879641614,0.004646057198450485,-0.005887438919970446,-0.0020341532122821523,-0.0001572665715054787,-0.009316586962898717,0.005967693645564186,-0.041098072059885866,-0.0049032688736761615,-0.007438695845853703,-0.025537957203298305,0.02128584885375366,-0.023512912657475942,0.001607714647922317,-6.385662079647538e-05,-0.004757675842836883,0.001746780121517918,0.0034210984911198024,0.001607714647922317,0.0006354433153391079,0.012278204505800258,0.0016181797079798511,0.007092115524178485,-0.0011884388202377794,0.006840065156117971,-0.00021131112557453067,-0.006883431176750752,0.035570685871853046,-0.063676853444905,0.0022007633645072327,-0.00045156886530303307,-0.0031420217254412458,-0.002980564713450171,-0.001669734660745515,-0.005633626223240042,0.00396156347575658
c_d_late1,0.029851106264519756,0.004571372430042391,-0.03517144764005484,0.003963026979966963,-0.013877692461614795,0.005350902762841589,-0.040474445977596626,-0.013695229028627989,0.012258781914039198,-0.008753162171052275,0.0017018550662457484,1.0,-0.005608022710559455,-0.0042248307288344335,0.10215476891694615,0.017524955803613747,-0.006122232339826655,0.006195640009196026,-0.008551767160665202,0.004216821568108604,-0.12814914020488488,-0.06172264585144108,-0.04158433087388379,-0.02528624634156907,-0.0033531753734951405,0.0031183854511629195,-0.06189027971339351,0.07503287086067553,-0.01189110828616317,0.005581299833338379,0.0016675390623896093,0.0001714601307791061,-0.006194061057690028,0.021891771904645422,-0.038735405058993665,-5.1739133841463324e-05,0.0008590581829296292,-0.010968349951759921,0.014640326056080106,-0.003458943493522081,-0.10964538521054082,0.00010615812862945711,-0.058128543070053204,0.01732279670087146,0.0007301210845283321,0.19106897763067032,0.06827198236466098,0.0015333039326641395,-0.04409179940358326,0.05807420444636415,0.013048130863784913,0.02038249710688854,0.0032671884502649346,0.005044939425541156,0.0083971840087338,-0.01271087403732929,-0.019560910138451983,-0.01712534099165926,0.07435837762047072,-0.06440869889746369,-0.10764325265428973,-0.0035795034307812934,-0.0011177112357460557,-0.003625198102216292,0.02266480423194196,0.037647859738442056,-0.0035795034307812934,-0.008688846523299671,0.028483283888717764,0.033871360704341026,-0.003345412018559052,0.002046488230812032,0.023727532368032853,0.0016912110587200529,-0.007251607965156436,-0.024929666673377725,-0.0834586745646913,0.007106326378711336,0.00036343155510161875,-0.0021712271086118807,0.012973029446807454,-0.010112829032780477,0.0027689881513823372,0.18237495187301575
r_d_rmed,0.0016837714011478711,-0.0022729130168699483,0.001982970163290979,5.732257909373557e-05,0.010437021526756698,0.006362842351825315,0.015083454772188405,-0.002888625771753321,0.012011345115726666,0.03205456891251783,-0.0024854091920224826,-0.005608022710559455,1.0,-0.0007672502615247297,-0.02025937168730879,-0.00043888446902614746,0.0025450512113124844,0.010061600512031003,0.006245506601890692,0.025221221710421564,-0.013369113457610875,0.021766683110594588,0.01639008203700373,-0.0037491469219526237,-0.0004971693686951363,0.007561015841997162,0.035119390881997004,-0.006030160614869054,-0.022600848982552903,-0.0041624981223890275,0.01677635484889739,0.0002804559628050249,0.003811835313585893,0.009006045600188391,0.002916151658242742,0.012459156804259372,0.0006247568528762645,-0.007867865109829094,-0.003949584209013026,-0.0009943804408200732,0.024717807278402698,-0.003713772061342851,0.011210527307596245,0.003931446522643382,-0.0009497039329730769,0.007008946997931637,0.0035727642371262847,-0.00024064601676858678,0.0030858252151926904,-0.0032091449571277396,-0.00929691389322718,-0.0058699371981706105,-0.0002808010412789711,0.018073148588661374,-0.0051083991526216545,0.009302989830561192,0.0019686579703325387,0.02099957089399668,0.01868522716783899,-0.11222525282330893,0.015229198219422932,0.0008872379162802237,-0.00016572106363768057,0.0018534985230266206,0.0026742011178958213,0.011059458160673928,0.0008872379162802237,0.00011500223019148621,-0.000245328929833926,0.00026514274770844806,0.002059657215785814,-0.0010498483520252355,0.027485076022796553,-0.00011329154539046232,0.0006761081679833469,0.013208974725409838,0.018095668035733505,0.0024187747309364414,-0.0011719140745357008,-0.007766970651205094,0.04733032046817559,0.005428076263764741,0.01764952307275634,0.006056072768066387
