,maararv_V2E,r_d_ifrs,f_liq,end_quarter,r_d_cons,f_cash,i_top4,c_barr2,c_d_cont,v40010,v30010,rep_PDF,r_d_accanomaly,v30030,c_d_late1,r_d_rmicro,pohitegevusala,c_d_sales,maa_algus,c_d_o1comb,v40020,v50010,r_d_abper,c_d_vat,maararv_X1,c_d_o1ocomb,r_orddiff,f_lev3,f_cfoper,count_tax,rep_tabelid,r_d_pdfnot,c_d_o1est,v40040,r_sizeg,v30080,f_d_altman,r_d_invsub,oigvorm_initial,zmij_x3,maararv_V2T,c_county,rep_notar,r_d_rlarge,f_lnsize2,oigvorm_arc,c_empl,f_d_loss,v50030,maararv_X2,f_d_roe,r_repper,c_d_o1for,sharefirm1,r_d_lowqual,c_d_overtax1,c_d_nassets2,f_dsi,c_d_nassets1,r_growth,zmij_x2,c_sizeg,maa_lopp,v30060,f_d_prof,r_d_rmissing,c_d_emplc,c_o1ctry,c_d_end,r_d_intang,maararv_HM,ln_size,c_o1ctryt,c_no_share,maararv_HP,maararv_V2,c_no_dir,r_d_accerror,c_age,r_d_rsmall,c_barr1,r_accr,f_roe,f_d_liq,r_d_acc_diff,oigvorm,c_segcm,c_top1,f_d_roa,r_d_goodwill,rep_RMP,r_d_xbrl,v64040,r_inv,f_lev4,maarusearv,v30100
maararv_V2E,1.0,-0.0008464443834816465,-0.00026569380568846576,-0.0020118152264506114,0.0007857210094556019,-0.002244623926480389,-0.004981772544033189,-0.002804196376372888,-0.007421792007291951,0.00019308538100632543,-0.00030865480239177293,-0.001080000920054569,0.0031025171783075744,-0.0006852566186462697,0.02989668425895696,0.0019626204746282915,0.001170150964593413,0.009556142221469546,-0.0016783679952858727,0.0021704412726355747,0.00010733912422341488,-0.0004582327550600656,-0.004889433346355527,-0.014544887745353681,-0.0010456150500653691,0.003858893361679351,-0.0019805963967065646,-0.00032446372006360703,-0.007127598384266419,0.008112772786323373,-0.0003484386201841067,-0.00023892499973328707,-0.00442291679372576,-0.0008475764988125908,0.0024351635947229312,-0.0003499527484834032,0.00046495055042236833,0.004120509987127997,0.0053302660487179795,-0.00026569380568846576,0.025392558942297867,-0.0006166403396238291,6.154524928245727e-05,-0.0003817061413501104,-0.016329385757844636,-0.0002623818739548099,-0.0018269523366982814,0.0034869295147886012,0.0001614278478536889,0.0022646532245890892,-0.0001504212217656766,0.0012841501912776115,0.0045072162784027935,-0.0005087887664543402,0.0029131939627075236,0.005819732103814929,0.002630026309357911,-0.00010778030718908462,0.003736784376892558,0.0018009766381416343,0.0005406526464743955,-0.00044908165930395734,0.0014173117058584222,-0.0009938021620301064,0.001345265698925468,-0.0028969839034828377,-0.014919377990100027,0.005317410445851287,0.017909362903888323,-0.0004550689177639578,0.02471853932057405,0.003306792896800014,0.005317410445851287,0.0007373006494458003,0.001747874145863381,0.8184080590312931,-0.003101873985725583,0.0011890852808303736,0.0031740429697667974,0.002387802513441748,-0.0002709053479653042,-0.00010450350986652624,-1.321176822082033e-05,0.0006978686865281496,-0.003005518985158664,-0.002115725263962863,-0.012515861679260927,0.0018809037011797598,0.0006276922753758406,-0.000824283277644055,-0.0005828350833149628,0.0013923713840686336,-0.0011966774388977909,-0.0011395486465667036,-0.0018244371774262592,0.26724497482716203,-0.0023759093652036506
r_d_ifrs,-0.0008464443834816465,1.0,0.0004650679022466731,0.0011862512625352368,0.1240849006982504,-0.008847128528518136,-0.0036838130520866113,-0.0034314865021052568,-0.008061564681551723,0.03791192951486586,0.16827116977515857,0.5185446272157153,-0.0008265397182636128,0.07298021763458702,0.015703308189221398,-0.0028784820413965155,0.00431761546155169,0.0021345226368094964,-0.00037190096841770295,0.0006407388448881598,0.030055778777030417,0.06901192472121115,-0.0030380029486893447,0.006835378002532386,0.0010059372772649362,0.0017828560411413917,0.029488606136340505,0.0034966849245917286,0.010326352012498383,-0.004250144456842723,-0.1727563531683037,0.12042343931313783,-0.02383066831499173,0.28788245928145917,-0.013146898429929237,0.2230637624318185,0.00010448400399184038,0.03865885248506964,-0.0281314175929289,0.0004650679022466731,-8.613855834262082e-05,-0.01340189797864065,0.0023147525507962612,0.0027654323309365438,0.00810493676503232,-0.10037243978325006,0.06952448938104137,-0.00655134313703351,-0.07912956587227903,-0.0021814975014491805,-0.008648755356530707,0.00010769681006753846,0.02401215627357262,0.011483487499719329,-0.0008194483778155295,-0.003839516877472984,-0.006675897198042144,-0.0002449464516852605,-0.004391274367713217,-6.540224290043198e-05,-0.00023408786025341119,0.3386707230640756,-0.0006204756916674157,0.16382317725462084,-0.008518641728490683,0.013877695013284841,-0.008165456646603852,0.0017157731510710583,-0.00012181872021982407,0.03504893714984429,-0.0008648950367070206,-0.0015946251551620513,0.0017157731510710583,0.0067166072836775705,0.0017569532476823704,-0.0008787436847959268,0.019792884918925478,0.00042755110334693336,0.01072512506464933,-0.013457779268545952,-3.3020314325247165e-05,-0.00020691107526761793,-1.4308652078939243e-05,-0.0013065669005091413,0.016856638602584666,-0.2015438214678512,-0.016928904697174018,-0.011232161490690826,-0.0088787623170293,0.004972062845213923,-0.0021378939519371845,-0.0019077847570806094,-0.0012816754771024902,-0.004822024700902442,-9.977284097645329e-05,-0.0015978710636821935,0.0029051343515484507
f_liq,-0.00026569380568846576,0.0004650679022466731,1.0,0.0008735675293463237,-0.0006472842983641418,0.0003961041698241373,-0.003592456735569091,-0.004100285475480201,-0.010550173229847548,-0.0004840840829855171,0.002397429643091919,7.769014822508788e-05,-0.0008063537940496623,-2.5171073361690664e-05,-0.0009876720516144254,-0.0013929882280041828,0.002911359073239669,0.0034881514703956444,-0.0006791756460143653,0.0011652812420628626,0.00030671667334237384,-0.00011636925883572847,-0.0012795925961698424,-0.0072494211892186805,0.0011125108999443295,-0.0003741736239577261,0.0015216469391296198,0.004195990011476495,-0.0030650460193790067,0.005406090269837281,-0.00010816294711175335,-0.0007995273643330778,-0.004787281604983603,0.004662184120433893,0.00029272947696790374,0.00020661469750082002,-0.00866996895065665,0.0003942698599450711,0.0015067287294021961,1.0,-2.78185023070297e-05,-0.003538504922492688,-0.0003795041734948643,-0.00019786323548998504,-0.008844407157431098,-0.0012087658031801883,-0.001371296399554729,0.0013038940518559174,0.0006775975039869196,-0.0006352026848690727,-0.00021330928661964614,0.00030875660294371653,0.004733911505842282,-0.0002898865435029214,-0.0007348291908388714,0.003742318596374897,-0.004780926300212774,0.0004881522218475431,-0.003911739377139572,-3.131702474363851e-05,-9.998216591169253e-05,-0.00022636120766187658,0.0006264853480471962,-0.0007728349882869367,-0.0005638096337514384,6.768869698170948e-05,-0.011165070556300645,0.000275104225738015,-4.558763658663283e-05,-0.0014228070773880455,-0.00026716628753115405,0.001805083507885604,0.000275104225738015,-0.001080157543340306,-0.00012811430766206832,0.00023209516196234995,0.001442163552806113,-0.00017389625670072078,0.0030094868656584065,0.00027020906206078613,6.304675698793263e-05,-8.257483255231684e-05,-7.523748500239981e-06,-0.007642318797126106,-0.003925738469598196,0.00019275866430787267,-0.005798150096173264,0.0017552766157250598,-0.0008624964241021124,-0.00020615856991608412,-0.0003462534970738909,0.0005742225133380082,-0.000587811509519761,-0.0014626503285214544,-0.004040440533832637,-0.00037124535951948143,-0.0012761730694650845
end_quarter,-0.0020118152264506114,0.0011862512625352368,0.0008735675293463237,1.0,-0.0013523984553802677,-0.00550667622464223,-9.28842003028135e-05,0.010621382772841437,0.0087932663074458,0.0013204251403134458,0.0004960202105866296,-0.007012584494494286,-0.005255257180676068,0.003958215930368641,-0.03519609957130837,-0.014079702980387103,-0.006465266391546223,-0.0019839446896640182,-0.14618203751794037,0.008187256413559984,0.0006037932655291697,0.000678939995597608,-0.04775603947213385,0.018019806142661205,0.0019224048821388268,0.0018405062323319445,0.010188356568788274,0.0050300624921572135,0.009169662707383475,0.017845432770345743,0.012105856793011318,-0.006662378220682453,0.01410402339544901,0.002005264923272692,-0.01153179132542648,0.0016726043643485943,0.013665059164591547,-0.014542874078291395,0.02759805257955974,0.0008735675293463235,-0.003855057993555322,0.007830835501953287,-0.0011631521922169663,-0.0008678471976147655,0.018680415105837,0.005093796516171986,0.0029655086075530005,-0.004360546516867211,-0.0011963223865819321,-0.01530356946755363,0.006202281422396446,-0.02091658456795869,-0.013360762074749734,0.001014566689595625,-0.005588429772225935,0.01280861798841545,-0.04064035100615959,0.0006370984291246325,-0.023623266677031192,-6.007239737453742e-05,0.0005948283974247599,-0.0019094808340388118,0.22949816971036516,0.003125647426040314,0.0016535211376165998,0.01398263700953137,0.017811521750197803,0.010135836942690286,-0.005451893323779578,-0.005367274004421614,-0.013527545773537463,0.012386266788358033,0.010135836942690286,-0.003883920236775035,-0.01500463783603248,-0.0031286795788268264,-0.0071431857195601665,-0.0018447513359830365,0.03425880529717926,-0.008455445204369064,0.0009837405576705815,-0.0001966402280723131,-0.0015587604698742066,0.0020679796323676424,0.0033630450047757443,0.006137155950360282,0.007606992460250841,-0.005630238065260693,0.001757542697340394,-0.0003393518262287417,-0.007292034202762955,-0.008024788421779205,-0.0008278498353331037,0.0019871899196253775,0.013758788460863777,-0.019432702289349527,0.0010573713203080551
r_d_cons,0.0007857210094556019,0.1240849006982504,-0.0006472842983641418,-0.0013523984553802677,1.0,-0.01620816609034197,-0.01689474255551168,-0.00823207888590491,-0.001291465882770565,0.02203287809335349,0.07325254854654316,0.4096039158651122,-0.002707579433320295,0.041543082506344475,0.0179805695905766,-0.011079430113986006,0.013336248371848903,-0.0037839605011646756,-0.003483894288222609,0.001308369492096133,0.02168297502781095,0.03206882710991772,-0.004694844219862407,0.000518235494884188,0.0003502844721523768,0.002793975566034578,0.02305736747853566,0.004144390766355371,0.030994686398086294,-0.005818411793361568,-0.13479120261630437,0.2180516566771523,-0.010338802346588015,0.11676770948785363,-0.014510658722706384,0.10103000289289882,-0.007060425073367316,0.29825199333576813,-0.011657879058893279,-0.0006472842983641419,-0.00014969525643177657,-0.013302466435216036,0.004566260574157071,0.0010073750307294654,0.025921935260282067,-0.05567468172326098,0.06692125523502958,-0.005812827036908774,-0.005759383349114311,0.0024024920186291963,-0.009506899340316748,0.00034661104765307694,0.010533587995208479,0.005296102035463244,-0.0017964570774624666,-0.005846604100174931,-0.00610340722780996,-0.0003620452272239644,-0.0004631538259522599,-4.935584326991495e-05,-0.0003958176601886622,0.15293097765876854,0.0035661993556293952,0.03457010062032625,-0.006133306516152271,0.017144960246443415,0.0033183408833129526,-0.0018915728423571417,-0.00021170176181686156,0.0452221054240162,-0.00039873730519743143,0.0032523352303757366,-0.0018915728423571417,0.009905268343057032,0.000509274672432758,0.0006467497139527781,0.009731501266498278,0.0007313909466626702,0.011545060118761323,-0.014387594604789458,-0.000253053771547601,-0.00013790766826911083,-2.3224498866248278e-05,-0.004789630625483546,0.09908123100483691,-0.10567371574892756,-0.02941704636612596,-0.011551107289247983,-0.00696213318687487,0.052315817947976094,-0.003715323189949924,-0.003962260888479425,-0.0008399424197392912,-0.0053958907716992015,0.012619516774128104,0.002448658805419934,0.023542280135578676
f_cash,-0.002244623926480389,-0.008847128528518136,0.0003961041698241373,-0.00550667622464223,-0.01620816609034197,1.0,0.021238462901335894,0.37705024139212096,-0.032651430947851605,-0.01296609544669848,0.010789651837779217,-0.01669336017065932,0.02308057355194764,-0.03983403109158029,-0.021187551428414463,-0.09214783850147916,0.04310316604214879,0.043981534493301035,0.004803871859992672,0.01979270496449499,-0.010375705626128778,0.0021988830422184,0.01816471938055916,-0.11879313103495164,0.00013693190391116065,-0.005001499525584706,0.07005839978491696,-0.14122014746312794,-0.08193851514299177,-0.06671911172362735,0.009610490565917128,-0.02832503686788918,-0.021269937872124986,-0.015068327317859365,-0.007437057265760463,-0.019183508526108593,-0.17376750074728217,-0.039207228578816485,-0.020591895708181148,0.00039610416982413705,-0.0006582187335281353,-0.027623939796699692,-0.02077931166987363,-0.0016989509876377976,-0.07804319686318356,0.0167596049675193,-0.01170775811837606,-0.027132762280628206,0.007474411116406746,-0.006113700223053837,-0.02536562287341696,-0.008054721557794027,0.021166855395690028,-0.0013551119010535297,0.01799378815268807,-0.0490350859408441,-0.005717229203679248,-0.003149495186857929,-0.03126206961445115,0.0005850166766620462,0.008274482948121146,-0.005649324021693331,-0.004829806709841361,-0.026787094457904694,-0.03134675620409207,0.023990657250621855,-0.05332436456498621,0.02966509038165755,-0.000877960341092292,-0.03519535032135042,0.0004118959115066743,-0.0588023738137416,0.02966509038165755,0.025570754392882877,-0.0034620481191695784,-0.00191564204064257,0.05051469578796207,-0.0016630572953493963,-0.03824870147817039,0.013261021359714771,-0.007661809857510693,0.002481178052138707,0.00024662629537501466,-0.15656563183893976,-0.07599009414018218,0.009288004760219765,-0.04226333810190546,-0.07294709936997464,-0.021289888588157814,-0.00851569511668953,0.014928866773428067,-0.004765084807622085,-0.006878519772411163,0.1232623458275605,-0.12950782574010408,-0.006717720134720965,-0.04743085173369869
i_top4,-0.004981772544033189,-0.0036838130520866113,-0.003592456735569091,-9.28842003028135e-05,-0.01689474255551168,0.021238462901335894,1.0,0.08142848397428445,0.05721893908548003,-0.011739161585885019,-0.008683419504763147,-0.00905237696737778,0.0024783489189172787,-0.024977358162744115,-0.009426379340569852,0.006663108262251117,-0.0910628185621873,-0.02824188597322871,0.010171308237431847,-0.007847990577191008,-0.008350050238845991,0.005276124266608237,0.0016700747690757407,0.08192414493260301,-0.006987534205998013,-0.005766852974099935,-0.005572658098777555,0.0015015024929854758,0.028704960235980466,0.009165330299785942,-0.0003497754862212514,-0.007888734587496815,0.04296709483974723,-0.01493433215113273,0.0110368851958397,-0.008786703437862755,0.006399425991181913,-0.05026782804800087,-0.00980402029656528,-0.00359245673556909,-0.0003538197626567994,0.06682520110222762,-0.009589154401593032,0.0012658844621550069,0.08504128180152248,0.008583301287448282,0.00734252535474735,-0.0003247511540616986,-0.0038426262526298927,-0.008300594538279579,0.007781818793086199,-0.007292047797593694,-0.043498284901442696,0.011540310968590171,0.002165506399489428,0.013902744583760555,0.015332837428352102,-0.0015016679463737402,0.006641064220214841,0.00042985000822161974,0.0002963103103241227,-0.002900504219626044,-0.013796919953304164,0.03738474289393644,0.007886344302821629,-0.012315660515779172,0.07263809788353832,-0.01501358774674454,-0.00015430984375360053,0.023647197472952384,-8.699319574515533e-05,-0.40208741143349164,-0.01501358774674454,0.017989336236396206,0.0010894505905197712,-0.005271071852963142,0.027958592027774693,-0.0005064054449459819,-0.01919047043107071,0.01014415581460473,0.0025079544722493513,-0.0005484747233739675,0.0011489474788388089,0.027338109557892707,0.038772605492705475,0.004083728922891664,0.06655409090061952,-0.022379908159428617,0.011545781081168376,0.004924334272225424,0.013005043426894118,0.0008951679737810768,0.007610604319462531,-0.039154232631360406,0.031233438149088053,-0.010062641181160695,0.007452594476541838
c_barr2,-0.002804196376372888,-0.0034314865021052568,-0.004100285475480201,0.010621382772841437,-0.00823207888590491,0.37705024139212096,0.08142848397428445,1.0,0.0701410686819729,-0.00021641897642520733,-0.005619009297172892,-0.012056647678888692,0.056831880183842685,-0.012756017441767945,-0.0211218055205024,-0.06787105290914057,-0.05333132473008663,-0.0651916603926009,-0.004542118397120559,-0.017149051602137942,0.0021934013873452386,0.00453060696780986,-0.026388456502618424,0.12346389204451329,-0.002946897880701223,-0.0035673598306115674,0.05595260567765073,0.13677030911031315,0.12635312580883978,0.04081935246927749,0.009957095881313922,-0.02094427750232687,0.05483603021200835,-0.0024505107017227766,-0.019812655611692095,0.007027847101473312,0.14698670200755257,-0.03465752204409173,0.027481838521409205,-0.004100285475480202,0.0007157268593375782,0.09752624850897339,-0.01608392930606676,0.0001770704488798215,0.1139820643162351,-0.0034748358224443135,0.014178608244259974,0.034598103678737245,-0.005212918822024338,-0.018348099979269807,0.029287751696418392,0.010132435079432579,-0.0550296484210787,0.0021968051393353627,0.048488206193055834,0.027196074288887286,-0.01645168910906072,-0.0016606882758229268,-0.007676188594109775,-0.0007442109036236848,-0.0014700586022642268,-0.0018012728688324852,0.005591080043597637,0.06248347188440626,0.03471689331297524,0.03301480511616734,0.10903456489657337,-0.024578798582498496,-0.0006155835376121497,-0.0023251331697350035,-0.0029931392276306627,-0.06624393761684466,-0.024578798582498496,-0.00017510035015978298,0.0015259964232395315,-0.0020484844200313788,-0.002107617359114689,0.0002486793259907471,0.0562488953797798,-0.008082533668076177,0.01758099100063934,-0.0013479343017719456,-0.00032034921833235224,0.19762334027782574,0.06292177701594075,0.0021766076740860098,0.0840066658997443,0.008193829719306867,0.0325170955345894,-0.0025326180685453243,0.005884753318331252,-0.003644873174852565,0.005343619806703971,0.3472068162347144,0.16289675451076893,-0.017395713839045958,-0.014658810790813973
c_d_cont,-0.007421792007291951,-0.008061564681551723,-0.010550173229847548,0.0087932663074458,-0.001291465882770565,-0.032651430947851605,0.05721893908548003,0.0701410686819729,1.0,0.0010279127413935908,0.00565559010627354,-0.023243128123078636,-0.003312487220495675,0.033913196367116205,-0.04303103671755248,-0.06476563925589184,-0.08335328388783361,0.23119459537393805,-0.0072532845917441194,-0.02528244417882957,0.0005146398778411057,0.0026301749788274586,-0.05031737532034415,0.3014158340853479,-0.011995912803294644,-0.012165874908011005,0.06117905530215195,-0.017251889852211887,0.09857432756905166,0.10004010596064815,0.042629644574983194,-0.0672020864174192,0.1036776325452759,0.0008465490146983366,0.02338425903664282,-0.0012717141582435287,0.02131849419531263,-0.03577275759369698,0.06751688126264657,-0.010550173229847548,0.0018076691280177728,0.0683026149510951,-0.06016491370782841,-0.0003163315196627929,0.26506459555579914,-0.026879175140255628,0.07147502387036632,0.024626828824808513,-0.000979174409860691,-0.031239627886049982,0.019453123971150173,0.023586354237674065,-0.10394066465983291,0.011523609137570428,-0.0012973236030936375,0.0883483842830179,0.13275208627789914,-0.0014341026392971918,0.2121184890136801,0.00011467714404012962,0.00490213098973636,-0.004119841375220833,0.009290646496586126,0.022978509306477848,0.06496727706357236,-0.009010943073540183,0.7621997986552007,-0.04593218336847361,0.0025564386494620083,0.04602858699397617,-0.004319160812975981,-0.03949667051992647,-0.04593218336847361,0.013220523691960905,-4.4049915822848084e-05,-0.00850018366333244,0.005993283930849969,0.0020515746327498994,0.14209813427814716,0.030314055729439997,-0.014009626963122404,0.0033152377100871457,0.00019945749681664346,0.08448489495617639,0.10029797178938823,-0.00426989406276009,0.12181445031080679,0.00537838122852015,0.06118852913548199,0.009128710537105898,-0.019369589754408983,-0.002269656962103823,0.02783963722984738,0.04206857885220108,0.04680722342014989,-0.03288612118834836,0.06678483171578621
v40010,0.00019308538100632543,0.03791192951486586,-0.0004840840829855171,0.0013204251403134458,0.02203287809335349,-0.01296609544669848,-0.011739161585885019,-0.00021641897642520733,0.0010279127413935908,1.0,0.04619162468812649,0.11814656911529099,-0.0016644705560302767,0.034533822552442084,0.009420304570155275,-0.006540155864258643,0.0037848748269695325,-0.002365007987010017,-0.0016307585656102756,-0.0006947800858291194,0.7023117907802353,-0.19347386613881581,-0.0022230615231957898,0.007939223195545669,0.00023475488946304995,0.0016658070890449134,0.01897965643141835,0.010459821396680898,0.012049685481375976,0.0018950374456349495,-0.039539958648442786,-0.0019218111459332287,-0.0092582963911545,0.21366216544057498,-0.0002839776747199228,0.5057976133282208,0.026971532855107182,0.01665934287741393,-0.01254125716820401,-0.000484084082985517,-7.413697277112545e-05,-0.006520536717504138,-0.0004554789153614695,0.0012641358676345373,0.007908434646320383,-0.056057682546484314,0.012490088508588123,0.003471544013782922,-0.19559702783117755,0.0011316260594142538,0.00016198805091419453,0.0018939474468646917,0.009356339562807497,0.006911099892675244,-0.0008366532470362588,0.0002683238848275202,0.0027097707552993615,0.0010815177879928471,0.006648170556999088,9.276927706215747e-05,0.0009741978828332668,0.1573344827975555,0.0019281783848585322,0.01354717790187821,0.001114832422153119,0.0018489237404703473,0.0003734545907285077,-0.001647072807246782,0.000434186949271066,0.013213803623230332,-0.00023474562875922837,0.010658073685456463,-0.001647072807246782,-0.0010131725928539891,0.00013799180590818861,0.0002119126359276561,0.00852573743579819,8.496807417093707e-05,0.009576375820527297,2.6490099307034078e-05,0.0011601814517251733,-8.988158964265034e-05,-3.394278664597191e-05,0.025548391940260366,0.010700796751459601,-0.11013996438092148,-0.008494061870772627,0.005161051112747686,0.0009428672166786856,0.0012193387615246293,-0.001547241058312492,0.0011207452031837036,0.0012776722284717297,0.0002779682018110541,0.025363740377522544,0.0010983050097228587,0.007460318520002948
